account_id,district_id,frequency,Date,Account_type,,
1,18,Monthly Issuance,1997-12-29,NRI account,,
2,1,Monthly Issuance,1997-12-29,Salary account,,
3,5,Monthly Issuance,1997-12-28,NRI account,,
4,12,Monthly Issuance,1997-12-28,Salary account,,
5,15,Monthly Issuance,1997-12-28,Savings account,,
6,51,Monthly Issuance,1997-12-27,Salary account,,
7,60,Monthly Issuance,1997-12-27,Salary account,,
8,57,Monthly Issuance,1997-12-27,Savings account,,
9,70,Monthly Issuance,1997-12-26,Salary account,,
10,54,Monthly Issuance,1997-12-25,NRI account,,
11,76,Monthly Issuance,1997-12-25,Salary account,,
12,21,Monthly Issuance,1997-12-23,Savings account,,
13,76,Monthly Issuance,1997-12-23,Salary account,,
14,47,Monthly Issuance,1997-12-23,Salary account,,
15,70,Monthly Issuance,1997-12-22,Savings account,,
16,12,Monthly Issuance,1997-12-22,Savings account,,
17,1,Monthly Issuance,1997-12-21,NRI account,,
18,43,Weekly Issuance,1997-12-21,Savings account,,
19,21,Monthly Issuance,1997-12-20,Salary account,,
20,74,Monthly Issuance,1997-12-20,Savings account,,
21,54,Monthly Issuance,1997-12-20,Salary account,,
22,1,Monthly Issuance,1997-12-20,NRI account,,
23,30,Monthly Issuance,1997-12-19,Savings account,,
24,74,Monthly Issuance,1997-12-19,Salary account,,
25,68,Monthly Issuance,1997-12-19,NRI account,,
26,52,Monthly Issuance,1997-12-19,Savings account,,
27,73,Monthly Issuance,1997-12-18,Savings account,,
29,7,Monthly Issuance,1997-12-17,Savings account,,
30,36,Monthly Issuance,1997-12-16,Salary account,,
31,68,Monthly Issuance,1997-12-16,NRI account,,
32,5,Monthly Issuance,1997-12-16,Savings account,,
33,22,Monthly Issuance,1997-12-16,Salary account,,
34,67,Weekly Issuance,1997-12-15,Savings account,,
35,75,Monthly Issuance,1997-12-13,Savings account,,
36,1,Monthly Issuance,1997-12-13,Salary account,,
37,20,Monthly Issuance,1997-12-11,Salary account,,
38,19,Weekly Issuance,1997-12-10,Salary account,,
39,36,Monthly Issuance,1997-12-10,NRI account,,
40,64,Monthly Issuance,1997-12-10,Savings account,,
41,72,Monthly Issuance,1997-12-10,Salary account,,
42,39,Monthly Issuance,1997-12-10,NRI account,,
43,36,Monthly Issuance,1997-12-09,NRI account,,
44,32,Monthly Issuance,1997-12-09,NRI account,,
45,64,Monthly Issuance,1997-12-09,Salary account,,
